attack,alpha,round,acc,f1
spf,1.0,2,87.05,13.38
spf,1.0,3,90.1,14.66
spf,1.0,4,93.6,1.54
spf,1.0,5,95.2,0.0
spf,1.0,6,96.1,0.0
spf,1.0,7,96.35,0.0
spf,1.0,8,96.45,0.0
spf,1.0,9,96.45,0.0
spf,1.0,10,96.45,0.0
spf,1.0,11,96.45,0.0
spf,1.0,12,96.45,0.0
spf,1.0,13,96.45,0.0
spf,1.0,14,96.45,0.0
spf,1.0,15,96.45,0.0
spf,1.0,16,96.45,0.0
spf,1.0,17,96.45,0.0
spf,1.0,18,96.45,0.0
spf,1.0,19,96.45,0.0
spf,1.0,20,96.45,0.0
spf,1.0,21,96.45,0.0
spf,1.0,22,96.45,0.0
spf,1.0,23,96.45,0.0
spf,1.0,24,96.45,0.0
spf,1.0,25,96.45,0.0
spf,1.0,26,96.45,0.0
spf,1.0,27,96.45,0.0
spf,1.0,28,96.45,0.0
spf,1.0,29,96.45,0.0
spf,1.0,30,96.45,0.0
spf,1.0,31,96.45,0.0
spf,1.0,32,96.45,0.0
spf,1.0,33,96.45,0.0
spf,1.0,34,96.45,0.0
spf,1.0,35,96.45,0.0
spf,1.0,36,96.45,0.0
spf,1.0,37,96.45,0.0
spf,1.0,38,96.45,0.0
spf,1.0,39,96.45,0.0
spf,1.0,40,96.45,0.0
spf,1.0,41,96.45,0.0
spf,1.0,42,96.45,0.0
spf,1.0,43,96.45,0.0
spf,1.0,44,96.45,0.0
spf,1.0,45,96.45,0.0
spf,1.0,46,96.45,0.0
spf,1.0,47,96.45,0.0
spf,1.0,48,96.45,0.0
spf,1.0,49,96.45,0.0
lfp,0.01,0,62.25,7.13
lfp,0.01,1,78.9,8.66
lfp,0.01,2,82.35,10.18
lfp,0.01,3,86.6,11.84
lfp,0.01,4,90.15,2.96
lfp,0.01,5,94.75,0.0
lfp,0.01,6,96.4,0.0
lfp,0.01,7,96.45,0.0
lfp,0.01,8,96.45,0.0
lfp,0.01,9,96.45,0.0
lfp,0.01,10,96.45,0.0
lfp,0.01,11,96.45,0.0
lfp,0.01,12,96.45,0.0
lfp,0.01,13,96.45,0.0
lfp,0.01,14,96.45,0.0
lfp,0.01,15,96.45,0.0
lfp,0.01,16,96.45,0.0
lfp,0.01,17,96.45,0.0
lfp,0.01,18,96.45,0.0
lfp,0.01,19,96.45,0.0
lfp,0.01,20,96.45,0.0
lfp,0.01,21,96.45,0.0
lfp,0.01,22,96.45,0.0
lfp,0.01,23,96.45,0.0
lfp,0.01,24,96.45,0.0
lfp,0.01,25,96.45,0.0
lfp,0.01,26,96.45,0.0
lfp,0.01,27,96.45,0.0
lfp,0.01,28,96.45,0.0
lfp,0.01,29,96.45,0.0
lfp,0.01,30,96.45,0.0
lfp,0.01,31,96.45,0.0
lfp,0.01,32,96.45,0.0
lfp,0.01,33,96.45,0.0
lfp,0.01,34,96.45,0.0
lfp,0.01,35,96.45,0.0
lfp,0.01,36,96.45,0.0
lfp,0.01,37,96.45,0.0
lfp,0.01,38,96.45,0.0
lfp,0.01,39,96.45,0.0
lfp,0.01,40,96.45,0.0
lfp,0.01,41,96.45,0.0
lfp,0.01,42,96.45,0.0
lfp,0.01,43,96.45,0.0
lfp,0.01,44,96.45,0.0
lfp,0.01,45,96.45,0.0
lfp,0.01,46,96.45,0.0
lfp,0.01,47,96.45,0.0
lfp,0.01,48,96.45,0.0
lfp,0.01,49,96.45,0.0
lfp,0.05,0,59.25,6.86
lfp,0.05,1,66.9,8.06
lfp,0.05,2,80.7,10.65
lfp,0.05,3,84.4,11.86
lfp,0.05,4,87.0,13.33
lfp,0.05,5,91.6,3.45
lfp,0.05,6,95.0,0.0
lfp,0.05,7,96.0,0.0
lfp,0.05,8,95.8,0.0
lfp,0.05,9,96.45,0.0
lfp,0.05,10,96.45,0.0
lfp,0.05,11,96.45,0.0
lfp,0.05,12,96.45,0.0
lfp,0.05,13,96.45,0.0
lfp,0.05,14,96.45,0.0
lfp,0.05,15,96.45,0.0
