method,seed,round,acc,f1
RFVIR,42,35,94.65,54.08
RFVIR,42,36,94.7,54.7
RFVIR,42,37,95.0,58.33
RFVIR,42,38,95.1,59.5
RFVIR,42,39,95.2,60.66
RFVIR,42,40,95.4,62.9
RFVIR,42,41,95.45,63.45
RFVIR,42,42,95.6,65.08
RFVIR,42,43,95.75,66.67
RFVIR,42,44,95.85,67.7
RFVIR,42,45,95.9,68.22
RFVIR,42,46,95.95,68.73
RFVIR,42,47,95.95,68.73
RFVIR,42,48,96.1,70.23
RFVIR,42,49,96.2,71.21
RFVIR,43,0,83.95,42.98
RFVIR,43,1,86.1,48.33
RFVIR,43,2,88.1,52.59
RFVIR,43,3,89.95,56.21
RFVIR,43,4,91.6,57.36
RFVIR,43,5,92.3,61.11
RFVIR,43,6,93.7,65.19
RFVIR,43,7,94.4,66.67
RFVIR,43,8,94.6,66.25
RFVIR,43,9,95.15,70.69
RFVIR,43,10,95.25,70.77
RFVIR,43,11,95.55,72.1
RFVIR,43,12,95.65,72.9
RFVIR,43,13,95.7,72.61
RFVIR,43,14,96.0,75.16
RFVIR,43,15,96.15,75.56
RFVIR,43,16,96.3,76.28
RFVIR,43,17,96.2,75.0
RFVIR,43,18,96.3,75.97
RFVIR,43,19,96.35,76.68
RFVIR,43,20,96.35,76.07
RFVIR,43,21,96.45,77.02
RFVIR,43,22,96.45,77.02
RFVIR,43,23,96.5,77.42
RFVIR,43,24,96.6,78.48
RFVIR,43,25,96.6,78.48
RFVIR,43,26,96.6,78.48
RFVIR,43,27,96.6,78.21
RFVIR,43,28,96.65,78.86
RFVIR,43,29,96.8,80.0
RFVIR,43,30,96.85,80.5
RFVIR,43,31,97.0,81.25
RFVIR,43,32,96.95,80.76
RFVIR,43,33,97.05,81.5
RFVIR,43,34,97.1,81.88
RFVIR,43,35,97.05,81.85
RFVIR,43,36,97.1,82.1
RFVIR,43,37,97.2,83.13
RFVIR,43,38,97.15,82.88
RFVIR,43,39,97.25,83.58
RFVIR,43,40,97.35,84.08
RFVIR,43,41,97.4,84.24
RFVIR,43,42,97.6,85.63
RFVIR,43,43,97.45,84.87
RFVIR,43,44,97.25,83.87
RFVIR,43,45,97.1,83.33
RFVIR,43,46,97.05,83.19
RFVIR,43,47,97.05,83.09
RFVIR,43,48,97.1,83.52
RFVIR,43,49,97.05,83.29
RFVIR,44,0,15.25,16.71
RFVIR,44,1,29.8,19.4
RFVIR,44,2,43.3,22.33
RFVIR,44,3,59.65,26.97
RFVIR,44,4,68.05,30.92
RFVIR,44,5,76.1,36.77
RFVIR,44,6,85.75,45.3
RFVIR,44,7,88.75,50.98
RFVIR,44,8,92.5,59.89
RFVIR,44,9,94.45,64.54
RFVIR,44,10,94.9,64.58
