attack,alpha,round,acc,f1
lfp,0.05,12,97.9,0.0
lfp,0.05,13,97.9,0.0
lfp,0.05,14,97.9,0.0
lfp,0.05,15,97.9,0.0
lfp,0.05,16,97.9,0.0
lfp,0.05,17,97.9,0.0
lfp,0.05,18,97.9,0.0
lfp,0.05,19,97.9,0.0
lfp,0.05,20,97.9,0.0
lfp,0.05,21,97.9,0.0
lfp,0.05,22,97.9,0.0
lfp,0.05,23,97.9,0.0
lfp,0.05,24,97.9,0.0
lfp,0.05,25,97.9,0.0
lfp,0.05,26,97.9,0.0
lfp,0.05,27,97.9,0.0
lfp,0.05,28,97.9,0.0
lfp,0.05,29,97.9,0.0
lfp,0.05,30,97.9,0.0
lfp,0.05,31,97.9,0.0
lfp,0.05,32,97.9,0.0
lfp,0.05,33,97.9,0.0
lfp,0.05,34,97.9,0.0
lfp,0.05,35,97.9,0.0
lfp,0.05,36,97.9,0.0
lfp,0.05,37,97.9,0.0
lfp,0.05,38,97.9,0.0
lfp,0.05,39,97.9,0.0
lfp,0.05,40,97.9,0.0
lfp,0.05,41,97.9,0.0
lfp,0.05,42,97.9,0.0
lfp,0.05,43,97.9,0.0
lfp,0.05,44,97.9,0.0
lfp,0.05,45,97.9,0.0
lfp,0.05,46,97.9,0.0
lfp,0.05,47,97.9,0.0
lfp,0.05,48,97.9,0.0
lfp,0.05,49,97.9,0.0
lfp,0.1,0,31.2,5.36
lfp,0.1,1,46.25,6.11
lfp,0.1,2,59.2,7.27
lfp,0.1,3,78.05,10.59
lfp,0.1,4,90.45,15.86
lfp,0.1,5,96.75,31.58
lfp,0.1,6,98.2,35.71
lfp,0.1,7,98.1,17.39
lfp,0.1,8,98.0,9.09
lfp,0.1,9,97.9,0.0
lfp,0.1,10,97.9,0.0
lfp,0.1,11,97.9,0.0
lfp,0.1,12,97.9,0.0
lfp,0.1,13,97.9,0.0
lfp,0.1,14,97.9,0.0
lfp,0.1,15,97.9,0.0
lfp,0.1,16,97.9,0.0
lfp,0.1,17,97.9,0.0
lfp,0.1,18,97.9,0.0
lfp,0.1,19,97.9,0.0
lfp,0.1,20,97.9,0.0
lfp,0.1,21,97.9,0.0
lfp,0.1,22,97.9,0.0
lfp,0.1,23,97.9,0.0
lfp,0.1,24,97.9,0.0
lfp,0.1,25,97.9,0.0
lfp,0.1,26,97.9,0.0
lfp,0.1,27,97.9,0.0
lfp,0.1,28,97.9,0.0
lfp,0.1,29,97.9,0.0
lfp,0.1,30,97.9,0.0
lfp,0.1,31,97.9,0.0
lfp,0.1,32,97.9,0.0
lfp,0.1,33,97.9,0.0
lfp,0.1,34,97.9,0.0
lfp,0.1,35,97.9,0.0
lfp,0.1,36,97.9,0.0
lfp,0.1,37,97.9,0.0
lfp,0.1,38,97.9,0.0
lfp,0.1,39,97.9,0.0
lfp,0.1,40,97.9,0.0
lfp,0.1,41,97.9,0.0
lfp,0.1,42,97.9,0.0
lfp,0.1,43,97.9,0.0
lfp,0.1,44,97.9,0.0
lfp,0.1,45,97.9,0.0
lfp,0.1,46,97.9,0.0
lfp,0.1,47,97.9,0.0
lfp,0.1,48,97.9,0.0
lfp,0.1,49,97.9,0.0
lfp,0.2,0,34.85,5.51
lfp,0.2,1,45.6,6.04
lfp,0.2,2,64.85,8.1
lfp,0.2,3,79.35,11.18
lfp,0.2,4,90.0,16.67
lfp,0.2,5,97.75,41.56
lfp,0.2,6,98.4,42.86
lfp,0.2,7,98.25,28.57
lfp,0.2,8,98.1,17.39
lfp,0.2,9,97.95,4.65
lfp,0.2,10,97.9,0.0
lfp,0.2,11,97.9,0.0
lfp,0.2,12,97.9,0.0
lfp,0.2,13,97.9,0.0
lfp,0.2,14,97.9,0.0
lfp,0.2,15,97.9,0.0
lfp,0.2,16,97.9,0.0
lfp,0.2,17,97.9,0.0
lfp,0.2,18,97.9,0.0
lfp,0.2,19,97.9,0.0
lfp,0.2,20,97.9,0.0
lfp,0.2,21,97.9,0.0
lfp,0.2,22,97.9,0.0
lfp,0.2,23,97.9,0.0
lfp,0.2,24,97.9,0.0
lfp,0.2,25,97.9,0.0
lfp,0.2,26,97.9,0.0
